zinc_id,smiles
ZINC000023357818,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000023357824,COc1cc(Nc2c(C#N)cnc3cc(OCCCN(C)CCN(C)C)c(OC)cc23)c(Cl)cc1Cl
ZINC000038662676,COc1cc(Nc2c(C#N)cnc3cc(OCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000029124095,CCOc1cc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1
ZINC000013470119,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCCCC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000027317335,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4C[C@H](C)N(C)[C@@H](C)C4)c(OC)cc23)c(Cl)cc1Cl
ZINC000023357810,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4C[C@H](C)N(C)[C@H](C)C4)c(OC)cc23)c(Cl)cc1Cl
ZINC000027317342,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4C[C@@H](C)N(C)[C@H](C)C4)c(OC)cc23)c(Cl)cc1Cl
ZINC000027324108,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCOCC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000022925130,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCNCC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000023357815,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(CCO)CC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000023357812,CCCN1CCN(CCCOc2cc3ncc(C#N)c(Nc4cc(OC)c(Cl)cc4Cl)c3cc2OC)CC1
ZINC000023357806,CCN1CCN(CCCOc2cc3ncc(C#N)c(Nc4cc(OC)c(Cl)cc4Cl)c3cc2OC)CC1
ZINC000014944631,COc1cc(Nc2c(C#N)cnc3cc(OCCCCN4CCOCC4)c(OC)cc23)c(Cl)cc1Cl
ZINC000114369444,CCOc1cc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2cc1OCCN1CCN(C)CC1
ZINC000097974087,COc1cc2c(Nc3ccc(OC)c(Cl)c3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1
ZINC000257354831,COc1ccc(Cl)c(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c1
ZINC000022930933,COc1cc2c(Nc3ccc(Cl)cc3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1
