zinc_id,smiles,predicted activity
ZINC000029124053,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)ccc23)c(Cl)cc1Cl,8.044171408885829
ZINC000224439860,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2C[C@H](O)[C@H](O)C2)c(-c2cncnc2)c1,8.259120045787547
ZINC000220109908,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2ccccc12,7.111306453823954
ZINC000137366748,Cc1cc(-c2cccnc2)nc(Nc2cc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)ccc2C)n1,7.124237349303378
ZINC000028637323,Cc1nc(NCCN2CCOCC2)cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1,7.862443587344258
ZINC001775963151,Cc1ccc(C(=O)Nc2cc(-n3cc(C)[n+]([O-])c3)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,7.273744660093086
ZINC000087721933,Cc1nc(/N=C2\NC[C@@H](C(=O)Nc3c(C)cccc3Cl)S2)cc(N2CCN(CCO)CC2)n1,8.102824954113622
ZINC000205871628,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)n2C)nc(N2CCN(CCO)CC2)n1,8.232314714453771
ZINC000473249094,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-n1cc(-c2cccnc2)cn1,7.2075529454998195
ZINC000071422088,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Cc1nc(-c2cccnc2)cs1,7.3086995138258395
ZINC000097957590,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#CC1=CNC2=CC=CNN12,7.342884271284272
