zinc_id,smiles,predicted activity
ZINC000029124095,CCOc1cc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1,9.57928678474358
ZINC000023357818,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,9.50961090160058
ZINC000038662676,COc1cc(Nc2c(C#N)cnc3cc(OCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,9.25900854627614
ZINC000114369444,CCOc1cc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2cc1OCCN1CCN(C)CC1,9.228874886935483
ZINC000029123923,COc1cc(Nc2c(C#N)cnc3cc(NCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,9.224116783886515
ZINC001772593141,NC[C@@]1(O)CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cc[nH]n2)C1,9.203686666666657
ZINC001772593142,NC[C@]1(O)CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cc[nH]n2)C1,9.203686666666657
ZINC000098208784,COc1cc2c(Nc3cc(Cl)c(Cl)c(OC)c3)c(C#N)cnc2cc1OCCCN1CCN(C)CC1,9.156611357821344
ZINC001772633505,CC1(O)CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cc[nH]n2)C1,9.075939523809518
ZINC000257354925,COc1cc2c(Nc3c(Cl)ccc(OC)c3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1,9.066176001217162
ZINC000022930933,COc1cc2c(Nc3ccc(Cl)cc3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1,9.051548142921348
ZINC001772648386,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCC(O)CC2)c(-c2cc[nH]n2)c1,9.035283333333329
ZINC000257354831,COc1ccc(Cl)c(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c1,9.012040047683255
ZINC000028888081,CCOc1cc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2cc1C#CCCN1CCN(C)CC1,8.988908527760138
ZINC000028888028,COc1cc(Nc2c(C#N)cnc3cc(C#CCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,8.986918083315693
ZINC000224373629,Cc1cc(-c2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cnc2N2CC(O)C2)n[nH]1,8.981055000000003
ZINC001772596060,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](O)C2)c(-c2cccnc2)c1,8.964085634920648
ZINC000097974087,COc1cc2c(Nc3ccc(OC)c(Cl)c3Cl)c(C#N)cnc2cc1OCCCN1CCN(C)CC1,8.948418835903809
ZINC001772574385,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC(O)C2)c(-c2n[nH]cc2F)c1,8.938085
ZINC000023357812,CCCN1CCN(CCCOc2cc3ncc(C#N)c(Nc4cc(OC)c(Cl)cc4Cl)c3cc2OC)CC1,8.893811133750953
ZINC000023357806,CCN1CCN(CCCOc2cc3ncc(C#N)c(Nc4cc(OC)c(Cl)cc4Cl)c3cc2OC)CC1,8.890071133750952
ZINC001772652727,CCN(CCO)c1ncc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cc1-c1cc[nH]n1,8.888141666666666
ZINC000150275965,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,8.862980476190472
